ID	PAM50	Bcellsnaive	Bcellsmemory	Plasmacells	TcellsCD8	TcellsCD4naive	TcellsCD4memoryresting	TcellsCD4memoryactivated	Tcellsfollicularhelper	Tcellsregulatory(Tregs)	Tcellsgammadelta	NKcellsresting	NKcellsactivated	Monocytes	MacrophagesM0	MacrophagesM1	MacrophagesM2	Dendriticcellsresting	Dendriticcellsactivated	Mastcellsresting	Mastcellsactivated	Eosinophils	Neutrophils
B12165	Basal	0.119885084	0	0.071858928	0.047384485	0	0.161663846	0	0	0	0	0.012694893	0.018906291	0.03370312	0	0.004956369	0.398556743	0.0308543	0.010180227	0.072206199	0	0	0.017149515
B12177	Her2	0.05034386	0	0.189800838	0.066641027	0	0.177105068	0	0.01749481	0.014553111	0	0	0.077639711	0.018688033	0.04161179	0.082317133	0.152064808	0.029068093	0	0.080690895	0	0	0.001980823
B12186	LumB	0.122721049	0	0.152127331	0	0	0.265097855	0.022151663	0.043406267	0	0.001584259	0	0.026080485	0	0.000753174	0.073646086	0.243208583	0.005193381	0	0.039453219	0	0	0.004576647
B12201	Her2	0.151983615	0	0.1305312	0.0461862	0	0.177226905	0.017210496	0.029212793	0.023035729	0	0	0.012780146	0.018299921	0.059065658	0.065310697	0.21093056	0.005302145	0	0.048991433	0	0	0.003932501
B12247	Her2	0.04446647	0	0.009523579	0.05755954	0	0.117172639	0	0.045940355	0.005534358	0	0	0.041710333	0	0.146216571	0.052264936	0.434513434	0.00540131	0	0	0	0	0.039696476
B12248	Basal	0.112028955	0	0.164507754	0.093353051	0	0.305862132	0.021949031	0.022036692	0	0.011262774	0	0	0.001877536	0	0.075897812	0.136533679	0.02785547	0	0.026835115	0	0	0
B12259	LumA	0.052681016	0	0	0	0	0.15341966	0	0.010054071	0.005245073	0	0	0.013885961	0	0	0.023705354	0.517632004	0.008514014	0	0.153031358	0	0.052714298	0.009117191
B12286	LumA	0.106584967	0	0.004417758	0.01718102	0	0.253160622	0	0.020058211	0	0	0.024578089	0	0.04625979	0	0.071087286	0.283586509	0.095637305	0	0.077448442	0	0	0
B12301	Her2	0.058807696	0	0	0	0	0.048552111	0	0.063181781	0.055462013	0	0.000534917	0.023810122	0	0.444646951	0.0290967	0.275907709	0	0	0	0	0	0
B12312	Her2	0.082060337	0	0.073209972	0.012591829	0	0.082398297	0	0.051459378	0	0	0	0.043600832	0	0.13036396	0.039213257	0.441437361	0	0	0.004423071	0	0	0.039241708
B12321	LumA	0.020380003	0	0	0.033676164	0	0.175774664	0	0.099880312	0	0	0	0.051887389	0.03514373	0	0	0.33466838	0.063147275	0	0.185442083	0	0	0
B12354	LumB	0.091978253	0	0.090664149	0	0	0.270825563	0	0.026084119	0	0	0	0.024996821	0.02234362	0	0.103764756	0.125835732	0.101419339	0	0.117176832	0	0	0.024910816
B12402	Basal	0.007738748	0	0.066638398	0	0	0.264570233	0	0.050285174	0	0	0	0.011641184	0.045534127	0.115110466	0.115941751	0.183270485	0.028394777	0.01676626	0	0.094108398	0	0
B12416	LumA	0.084852445	0	0	0	0	0.278748464	0	0.004495711	0	0	0	0.086166845	0.024461918	0	0.008994138	0.359320215	0.031091537	0	0.121868727	0	0	0
B12456	Her2	0.103948799	0	0.027596218	0	0	0.227423067	0	0.002044802	0	0	0	0.031341537	0	0.041487002	0.068533602	0.306522893	0.065029927	0	0.120055692	0	0	0.006016461
B12467	LumB	0.116198884	0	0.063489171	0.076359316	0	0.138233603	0	0.044820941	0	0	0	0.006681698	0	0	0.049094413	0.260946547	0.129535896	0.047266027	0.059360896	0	0	0.00801261
B12470	Basal	0.00286931	0	0.253485336	0	0	0.184845365	0	0.002788294	0	0	0	0.041669235	0	0	0.048220898	0.201198813	0.054055188	0	0.138403026	0	0	0.072464536
B12475	Her2	0.066761225	0	0.000396175	0	0	0.103048473	0	0.056278985	0	0	0	0.032244228	0	0.136294259	0.061821631	0.456827628	0	0	0.074059283	0	0	0.012268113
B13020	Her2	0.068571714	0	0.102843545	0.001715194	0	0.299764855	0.023819732	0.05675573	0	0	0.051940866	0	0	0.064615285	0.121651574	0.171673417	0.012093578	0.010301706	0.014252805	0	0	0
B13023	Basal	0.021725959	0	0.120568791	0.073439897	0	0.048815444	0.003534399	0.070227116	0	0	0	0.048973919	0	0.14113693	0.075886693	0.383202557	0	0	0.000896817	0	0	0.011591478
B13028	LumA	0.15987379	0	0.063902466	0	0	0.179145603	0	0.112855986	0.004614777	0	0	0.024031056	0	0.313122502	0	0.094249855	0	0	0	0.048203965	0	0
B13033	Her2	0.19674544	0	0.18775694	0	0	0.164352205	0	0.052974868	0.030785734	0	0	0.011495366	0.004602962	0.012872977	0.055617264	0.191055312	0.011611089	0	0.080129842	0	0	0
B13045	LumB	0.007506671	0	0	0.1354493	0	0.15485999	0	0.024676481	0.027679878	0	0.126754702	0	0.036978058	0.059309383	0	0.237522864	0	0	0.189262674	0	0	0
B13116	LumA	0.144363828	0	0.043120723	0.023268637	0	0.264853138	0.001807235	0.037348873	0	0.048607913	0	0.016949016	0	0	0.100255339	0.120059905	0.169626787	0	0.023775445	0	0.00596316	0
B13155	LumA	0.064139779	0	0.024384631	0	0	0.070980558	0	0.051635007	0.057506807	0	0	0.05788926	0	0.242434341	0.040309435	0.367517791	0	0	0	0.019925677	0	0.003276716
