Batch,SNVNeo_Count_1,SNVNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,ESTIMATE,0.6288847228608712,0.530456652808827,ns
Batch_2,1,2,IMPRES,0.44278766293508665,0.6586076259984195,ns
Batch_2,1,2,C_Bcellsnaive,1.5175210586859265,0.13140626650288914,ns
Batch_2,1,2,C_Bcellsmemory,2.14487119015719,0.03370169530678977,*
Batch_2,1,2,C_Plasmacells,0.8967190622219565,0.3714192745540954,ns
Batch_2,1,2,C_TcellsCD8,0.26024725888350625,0.7950581678190629,ns
Batch_2,1,2,C_TcellsCD4naive,0.27599161636544683,0.7829644120725046,ns
Batch_2,1,2,C_TcellsCD4memoryresting,-0.05823601206682899,0.953644272380591,ns
Batch_2,1,2,C_TcellsCD4memoryactivated,0.7560678185900462,0.45088797043654216,ns
Batch_2,1,2,C_Tcellsfollicularhelper,0.6204601427053197,0.5359708484643922,ns
Batch_2,1,2,C_Tcellsregulatory(Tregs),0.035774350937775,0.9715136089015296,ns
Batch_2,1,2,C_Tcellsgammadelta,-0.358061361395572,0.7208405637876434,ns
Batch_2,1,2,C_NKcellsresting,1.039052092978606,0.3005845585508521,ns
Batch_2,1,2,C_NKcellsactivated,-0.30873980956793484,0.7579817081782542,ns
Batch_2,1,2,C_Monocytes,0.37005589662839977,0.711904084146036,ns
Batch_2,1,2,C_MacrophagesM0,1.4367631771271168,0.15303233393361648,ns
Batch_2,1,2,C_MacrophagesM1,-0.8227511467920005,0.4120587475067381,ns
Batch_2,1,2,C_MacrophagesM2,-1.7419532612439619,0.08372866325051948,ns
Batch_2,1,2,C_Dendriticcellsresting,-1.0703258538927605,0.2863276930586081,ns
Batch_2,1,2,C_Dendriticcellsactivated,-0.08061042499239392,0.9358677230256027,ns
Batch_2,1,2,C_Mastcellsresting,-0.7641962782958297,0.44604559820563827,ns
Batch_2,1,2,C_Mastcellsactivated,0.03783137159076574,0.9698764105131534,ns
Batch_2,1,2,C_Eosinophils,-0.27798213477625555,0.7814391307326167,ns
Batch_2,1,2,C_Neutrophils,-3.9908336572449543,0.00010610409876613508,*
Batch_2,1,2,S_Attractors_LYM,0.7263646425685605,0.468836642846823,ns
Batch_2,1,2,S_Attractors_IFIT3,-0.06977698427830314,0.9444714509642881,ns
Batch_2,1,2,S_Attractors_G_GIMAP4,1.0333409477596092,0.30323889210598787,ns
Batch_2,1,2,S_Attractors_G_HLA.DPA1,0.16984949772949043,0.865375451967229,ns
Batch_2,1,2,S_Attractors_G_SLAMF6,0.8175065155493488,0.4150381013796308,ns
Batch_2,1,2,S_Attractors_G_LILRB4,0.010080706817364357,0.9919713497599623,ns
Batch_2,1,2,S_Attractors_G_SIGLEC9,-0.4776321053855416,0.6336622959582977,ns
Batch_2,1,2,S_Attractors_G_CYTH4,1.4425910865743794,0.15138528553214892,ns
Batch_2,1,2,S_Attractors_G_CD3E,0.8604008498547231,0.39104973627050843,ns
Batch_2,1,2,S_Lymph_Vessels,0.2228543543488793,0.8239760105539616,ns
Batch_2,1,2,S_ICR_SCORE,0.04090942977696583,0.9674268023989764,ns
Batch_2,1,2,S_ICR_INHIB_SCORE,-0.046681787131353264,0.9628338486454866,ns
Batch_2,1,2,S_ICR_ACT_SCORE,0.08108714563771616,0.9354892862331761,ns
Batch_2,1,2,S_Angiogenesis,1.4228765959008818,0.15701237817575442,ns
Batch_2,1,2,S_APM1,0.7364113356472198,0.46272142528865956,ns
Batch_2,1,2,S_APM2,0.41627200387799396,0.6778530181157632,ns
Batch_2,1,2,S_ICS5_score,1.5000660562084074,0.1358652521420934,ns
Batch_2,1,2,S_LIexpression_score,1.2166946088124273,0.22578231569609697,ns
Batch_2,1,2,S_Chemokine12_score,0.3238429061696904,0.7465437274448297,ns
Batch_2,1,2,S_NHI_5gene_score,-0.22376830202195702,0.8232661457493686,ns
Batch_2,1,2,S_CD68,0.38951803735841334,0.6974891121783395,ns
Batch_2,1,2,S_CD8A,0.8490751056123984,0.39729944043517385,ns
Batch_2,1,2,S_PD1_data,0.3402607034103713,0.7341738755647653,ns
Batch_2,1,2,S_PDL1_data,-0.4554215195813267,0.6495166191285857,ns
Batch_2,1,2,S_PD1_PDL1_score,-0.0551666544336175,0.956084909062809,ns
Batch_2,1,2,S_CTLA4_data,0.21905130841851037,0.826931400073026,ns
Batch_2,1,2,S_Bcell_mg_IGJ,1.3871425259929007,0.16761851866559582,ns
Batch_2,1,2,S_Bcell_receptors_score,1.1692581762482086,0.24430081622117214,ns
Batch_2,1,2,S_STAT1_score,0.43434676793981214,0.6647101382179953,ns
