Batch,FusNeo_Count_1,FusNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_1,1,2,ESTIMATE,-0.9843619932833022,0.3258669628776739,ns
Batch_1,1,2,IMPRES,-1.043967621313261,0.2974851702903051,ns
Batch_1,1,2,C_Bcellsnaive,-0.16221068778568612,0.8712679019060013,ns
Batch_1,1,2,C_Bcellsmemory,1.803009158382672,0.07256264703628157,ns
Batch_1,1,2,C_Plasmacells,-0.36257243758753066,0.7172234542223701,ns
Batch_1,1,2,C_TcellsCD8,-1.4134773042486892,0.15873022914358484,ns
Batch_1,1,2,C_TcellsCD4naive,0.0,1.0,ns
Batch_1,1,2,C_TcellsCD4memoryresting,-1.0884045547517514,0.27744013578037235,ns
Batch_1,1,2,C_TcellsCD4memoryactivated,-1.15082916205602,0.25087630997197774,ns
Batch_1,1,2,C_Tcellsfollicularhelper,-0.10235451521436574,0.9185554134830178,ns
Batch_1,1,2,C_Tcellsregulatory(Tregs),-0.8380214920579127,0.40280036319699664,ns
Batch_1,1,2,C_Tcellsgammadelta,0.3263433520521464,0.7444312215340809,ns
Batch_1,1,2,C_NKcellsresting,0.5673410587661764,0.5709796506169686,ns
Batch_1,1,2,C_NKcellsactivated,0.18421151241529965,0.8539933637388202,ns
Batch_1,1,2,C_Monocytes,-1.8355959202434171,0.06757735286355931,ns
Batch_1,1,2,C_MacrophagesM0,-0.26068036914009723,0.7945485719340287,ns
Batch_1,1,2,C_MacrophagesM1,-3.585972899126045,0.00040212848134135303,*
Batch_1,1,2,C_MacrophagesM2,1.6009704543634755,0.11061672316141524,ns
Batch_1,1,2,C_Dendriticcellsresting,1.2888477018083337,0.1986144933152719,ns
Batch_1,1,2,C_Dendriticcellsactivated,-0.22575119040273176,0.8215750648247236,ns
Batch_1,1,2,C_Mastcellsresting,-0.6679214231547277,0.5047854577555853,ns
Batch_1,1,2,C_Mastcellsactivated,2.088135326608655,0.0377740471866042,*
Batch_1,1,2,C_Eosinophils,-0.8637452714077359,0.38853637473120484,ns
Batch_1,1,2,C_Neutrophils,0.9946007514814003,0.32086964766103887,ns
Batch_1,1,2,S_Attractors_LYM,-0.9134443639372395,0.36186835183538646,ns
Batch_1,1,2,S_Attractors_IFIT3,-3.0857984596933576,0.002252915309516756,*
Batch_1,1,2,S_Attractors_G_GIMAP4,-1.3530326461269873,0.17723886113339257,ns
Batch_1,1,2,S_Attractors_G_HLA.DPA1,-0.3783473426013582,0.7054861324445689,ns
Batch_1,1,2,S_Attractors_G_SLAMF6,-0.756747333263661,0.4498971283838309,ns
Batch_1,1,2,S_Attractors_G_LILRB4,-1.1898774458732444,0.23519688813052853,ns
Batch_1,1,2,S_Attractors_G_SIGLEC9,-0.24464602517842515,0.806926500268631,ns
Batch_1,1,2,S_Attractors_G_CYTH4,-0.9039886703825022,0.3668512910112317,ns
Batch_1,1,2,S_Attractors_G_CD3E,-0.7047791173300362,0.4815883961040419,ns
Batch_1,1,2,S_Lymph_Vessels,0.9856607907959221,0.3252302441136019,ns
Batch_1,1,2,S_ICR_SCORE,-1.9508232301729285,0.05216907280472834,ns
Batch_1,1,2,S_ICR_INHIB_SCORE,-1.9085124039099433,0.05744342858258068,ns
