Batch,SNVNeo_Count_1,SNVNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,ESTIMATE,1.3279569080193854,0.18552606513784986,ns
Batch_2,1,2,IMPRES,0.32306354360448064,0.7469445131688661,ns
Batch_2,1,2,C_Bcellsnaive,2.703268805224281,0.007385566275710652,*
Batch_2,1,2,C_Bcellsmemory,2.006743460530921,0.04596309479028057,*
Batch_2,1,2,C_Plasmacells,0.3633298164630494,0.7166966439965344,ns
Batch_2,1,2,C_TcellsCD8,-0.7896463346237514,0.4305583850629773,ns
Batch_2,1,2,C_TcellsCD4naive,-0.49404275838905376,0.6217536986341805,ns
Batch_2,1,2,C_TcellsCD4memoryresting,-0.6835615167786387,0.4949492275861791,ns
Batch_2,1,2,C_TcellsCD4memoryactivated,0.12839978923883433,0.8979462812977965,ns
Batch_2,1,2,C_Tcellsfollicularhelper,-1.1067309497954407,0.2695817042380294,ns
Batch_2,1,2,C_Tcellsregulatory(Tregs),0.9838605542103874,0.3262315484483985,ns
Batch_2,1,2,C_Tcellsgammadelta,-0.41758820788078627,0.6766429202610658,ns
Batch_2,1,2,C_NKcellsresting,1.502640010431561,0.1343217512491247,ns
Batch_2,1,2,C_NKcellsactivated,-1.2496466045370633,0.21271556288171892,ns
Batch_2,1,2,C_Monocytes,0.4958560829670137,0.6204756831783096,ns
Batch_2,1,2,C_MacrophagesM0,0.8590589501319253,0.39121423612413964,ns
Batch_2,1,2,C_MacrophagesM1,-1.275942697155751,0.20327979803735743,ns
Batch_2,1,2,C_MacrophagesM2,-0.3498789599170507,0.7267539361423063,ns
Batch_2,1,2,C_Dendriticcellsresting,-1.0961786074476945,0.2741621897895521,ns
Batch_2,1,2,C_Dendriticcellsactivated,-1.2575233482491834,0.20985635804498104,ns
Batch_2,1,2,C_Mastcellsresting,0.6517129806158697,0.5152456253072197,ns
Batch_2,1,2,C_Mastcellsactivated,-1.4509684780702394,0.14816911294357607,ns
Batch_2,1,2,C_Eosinophils,-0.8005462271990406,0.42423143546941966,ns
Batch_2,1,2,C_Neutrophils,-2.0102964072791236,0.04558298073694233,*
Batch_2,1,2,S_Attractors_LYM,1.7569518082279525,0.08027422055649328,ns
Batch_2,1,2,S_Attractors_IFIT3,1.2564412395868583,0.21024748825759415,ns
