,target_name,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,best_max_depth,best_min_samples_split,best_n_estimators
ESTIMATE,ESTIMATE,0.6446270258529483,0.12886924575893055,804.3427671384251,1204.576331707999,653.9536742507746,989.0893849636607,10.0,10,300
IMPRES,IMPRES,0.5558294760163354,-0.085061226335571,0.9003269076766344,1.3859656230134576,0.7199522780263709,1.1366984769111532,10.0,10,300
C_Bcellsnaive,C_Bcellsnaive,0.575603410614864,0.04650979719541615,0.03344639286506903,0.05070636593941777,0.025740114142559115,0.03946849521631913,10.0,10,200
C_TcellsCD4memoryresting,C_TcellsCD4memoryresting,0.4784203066002414,0.05594885697040963,0.055053061855486085,0.08029031902235158,0.044546461726848806,0.06542895913777337,10.0,10,200
C_MacrophagesM2,C_MacrophagesM2,0.5447192166649077,0.05207599247313355,0.0633612940818959,0.09731708730022352,0.04928332622256683,0.07451398450265771,10.0,10,100
S_Attractors_LYM,S_Attractors_LYM,0.6412716872451181,0.07456863526412916,0.025440990584969656,0.04026667445682607,0.020859938903342073,0.033025268876823846,10.0,10,200
S_Attractors_IFIT3,S_Attractors_IFIT3,0.5416559695179691,-0.0112314819035233,0.03164787791415279,0.046834096827165224,0.02624228330900412,0.03916491814497105,10.0,10,200
S_Attractors_G_GIMAP4,S_Attractors_G_GIMAP4,0.6114659098078644,0.045025814171003375,0.025650992856263835,0.03698953183584524,0.02102174062586384,0.030292664819009264,10.0,10,300
S_Attractors_G_HLA.DPA1,S_Attractors_G_HLA.DPA1,0.5043094402982524,-0.008445020947538406,0.017575883236263926,0.02986337535981097,0.01161398787132626,0.01954750998132929,10.0,10,200
S_Attractors_G_SLAMF6,S_Attractors_G_SLAMF6,0.6548565114205485,0.07565108881549298,0.029727895306895975,0.04959623803311544,0.024183162063513418,0.03910273109269172,10.0,10,300
S_Attractors_G_LILRB4,S_Attractors_G_LILRB4,0.6388026041345363,0.04413733707570544,0.02151856424955921,0.03289740136886681,0.017183309800536332,0.025602735351981088,10.0,10,200
S_Attractors_G_SIGLEC9,S_Attractors_G_SIGLEC9,0.5387950317664479,-0.08733738880431652,0.02878637150004411,0.041279043366733374,0.023349993839157895,0.03332769538093816,10.0,10,200
S_Attractors_G_CYTH4,S_Attractors_G_CYTH4,0.638630079367651,0.07644042225181147,0.025594954379947618,0.038598189531891106,0.0204232044655874,0.031174089835448757,10.0,10,200
S_Attractors_G_CD3E,S_Attractors_G_CD3E,0.6341021788706798,0.08392813574451441,0.033008290749195035,0.05287171729191386,0.026441255948889988,0.04027554596142054,10.0,10,200
S_Lymph_Vessels,S_Lymph_Vessels,0.5450272020898121,0.017562545613280633,0.024279038123688784,0.032005490447781844,0.016771963657628564,0.026257367120510983,10.0,5,200
S_ICR_SCORE,S_ICR_SCORE,0.6288452631953316,0.11405106449751434,0.03227043190823273,0.05018272156938329,0.02603654263200696,0.03846760716961444,10.0,10,200
S_ICR_INHIB_SCORE,S_ICR_INHIB_SCORE,0.6452671662014654,0.08592448264489538,0.02930036721572552,0.04557394673771509,0.023154363754242964,0.03564726927492355,10.0,10,100
S_ICR_ACT_SCORE,S_ICR_ACT_SCORE,0.6253043235670084,0.10728272225142854,0.03357178774179471,0.05283796483224809,0.027029386165766976,0.03991443697078748,10.0,10,300
S_Angiogenesis,S_Angiogenesis,0.5497277773616164,-0.021700195644886122,0.017414740872009834,0.025663912650699134,0.013784020005193232,0.020805011477108042,10.0,10,200
S_APM1,S_APM1,0.6063973965188452,0.012074250501118877,0.007575068666813419,0.012901623976084582,0.006237434995691743,0.010508470797947375,10.0,10,300
S_APM2,S_APM2,0.6014464460192557,0.07651459883536338,0.019200103308885115,0.031458142457027875,0.014561047527858867,0.023389005097447967,10.0,10,300
S_ICS5_score,S_ICS5_score,0.5762077694752523,0.031226245570050604,0.03826249503815116,0.05787983509161993,0.02769789684186195,0.041148831916793374,10.0,10,100
S_LIexpression_score,S_LIexpression_score,0.6401992277587185,0.05330154220285066,0.03269383800052902,0.05341566910574417,0.026325787122288797,0.04114283329914987,10.0,10,300
S_Chemokine12_score,S_Chemokine12_score,0.6282136842011928,0.05838283683871126,0.03679558306431432,0.056666567988279314,0.02996068048735036,0.0445377301862974,10.0,10,200
S_NHI_5gene_score,S_NHI_5gene_score,0.5922985866478664,0.02321660240223411,0.02029152278466415,0.03486343479534798,0.015029357923001469,0.02558269939345812,10.0,10,200
