mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.07892036437988281,0.0037043484877073733,0.0070855140686035155,0.00028381583990887095,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.05032555187669496,0.06644211826080637,0.005668505039206351,0.09046028081593771,0.043878302196220464,0.05135495163777317,0.027932277817562426,1,-1.0352191167363265,-0.9880697553040265,-0.9325282712108068,-0.928316001021896,-0.9736387241291473,-0.9715543736804406,0.039301133315636595,1
0.07960171699523926,0.0021292594136003633,0.006517553329467773,0.0006699484624448951,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.04878299902501093,0.06637002857244578,0.006490262982031925,0.09056865811736448,0.04338001895159116,0.05111839352968885,0.02773424703249469,2,-1.0360595269833228,-0.9881079041253743,-0.9321428510006187,-0.9282606920682864,-0.9738923972083064,-0.9716926742771819,0.03966841534278358,2
0.11897993087768555,0.0011824280434865905,0.007209110260009766,0.0007842664029960334,0.01,0.01,6,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.5}",0.042009960004065205,0.061527463592653375,0.018435492291495548,0.08152175746617696,0.027469502064928042,0.04619283508386383,0.022898966397469987,3,-1.0397415598101947,-0.9906671557680518,-0.9265222057503889,-0.9328663724882437,-0.9819578951132322,-0.9743510377860222,0.04149355367706014,3
0.04713373184204102,0.0014044861609576699,0.006713676452636719,0.0001570264220357368,0.1,0.01,3,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.04445727586496562,0.055469083643724715,0.023822421242609693,0.07132659428343324,0.031541232969344524,0.04532332160081556,0.01692389669144616,4,-1.0384126299154413,-0.9938596747874586,-0.9239762823580152,-0.9380295203577769,-0.979900138556268,-0.974835649194992,0.04091689478638753,4
0.04299931526184082,0.004669200393778474,0.006627130508422852,0.00012488923200540237,0.01,0.01,3,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.04443260950014327,0.055469083643724715,0.023822421242609693,0.07131418730090133,0.03152065375035573,0.045311791087546946,0.016923691361859852,5,-1.0384260326125798,-0.9938596747874586,-0.9239762823580152,-0.9380357863264862,-0.979910549671898,-0.9748416651512877,0.04092019049083107,5
0.11445078849792481,0.003850626415166391,0.006802892684936524,0.0002528616960277898,0.1,0.01,6,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.5}",0.04140303149071212,0.057231138775660884,0.019077320182545376,0.07978380070149627,0.025792377736010286,0.044657533777284986,0.021967172762254024,6,-1.0400708684956887,-0.9929322022079992,-0.9262192378704516,-0.9337485464580508,-0.9828042213147934,-0.9751550152693967,0.0417080632437818,6
0.1445390224456787,0.004292564015860237,0.0071085929870605465,0.00019035167349303883,0.01,0.01,3,400,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.04098727744883057,0.040447502553708437,-0.012759151147045067,0.10678236875149727,0.0362319347397726,0.04233798646935276,0.03803013329786053,7,-1.0402963891295673,-1.0017315467823178,-0.941129739548553,-0.9199487744367743,-0.977524199256311,-0.9761261298307046,0.04279265531771706,7
0.15129852294921875,0.0005137171878858496,0.007287931442260742,0.0005650211961597318,0.1,0.01,3,400,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.03603673674373076,0.041820087201614675,-0.011181836958010116,0.10694605347495811,0.037352284940882274,0.042194665080635144,0.037691649749730355,8,-1.0429780013374907,-1.0010148307095323,-0.9403965762243819,-0.9198644789332302,-0.9769558634020296,-0.9762419501213329,0.04366054489836964,8
0.04422173500061035,0.003752265636853491,0.006563949584960938,0.00012264047772267783,0.01,0.01,3,100,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.04715875519739832,0.0623615596150886,0.009524548814227485,0.05873478044336333,0.01403138269057036,0.03836220535212962,0.022324826879747652,9,-1.0369437077400372,-0.9902268151154827,-0.9307183301351918,-0.944367445181898,-0.988718812270198,-0.9781950220885616,0.037696852672914435,9
0.04642906188964844,0.0009749790458776316,0.006822919845581055,0.0003623331667571984,0.1,0.01,3,100,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.0467941098450253,0.062461117587655934,0.009511108395511059,0.05867885852670751,0.01403138269057036,0.03829531540909403,0.02231131253958428,10,-1.0371421041345366,-0.9901742428302004,-0.9307246448811114,-0.9443954978774061,-0.988718812270198,-0.9782310603986903,0.037748770645990665,10
