mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.14120769500732422,0.004474028214633701,0.007119035720825196,0.00015430649365909916,0.01,0.01,3,400,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.32770220653057114,0.23651387536848545,0.11323282446053695,0.22972185375875676,0.20051371795604356,0.22153689561487874,0.06889720245650369,1,-0.8935062035137414,-0.8940913838872923,-0.9215139143331765,-0.8336099325749984,-0.8466713351690667,-0.877878553895655,0.03269472527401522,1
0.14429564476013185,0.004429839235790947,0.007330894470214844,0.00021703891609319424,0.1,0.01,3,400,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.3278070974507663,0.23380971185181765,0.1134716930598012,0.2314303526806455,0.19930612074548115,0.22116499515770238,0.06886720861796514,2,-0.8934364990281523,-0.8956733590887787,-0.9213897918072887,-0.8326849340558486,-0.8473105282154809,-0.8780990224391099,0.03295013508174212,2
0.14651899337768554,0.003724436788516677,0.007314920425415039,0.0003006928465376392,0.1,0.01,3,400,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.31697994991175926,0.22713153247872286,0.08589227100103791,0.23940804140347294,0.18622871591237244,0.2111281021414731,0.07558369038308062,3,-0.9006031372158506,-0.8995682727898544,-0.9356119997379206,-0.8283520609900634,-0.8542018914511318,-0.8836674724369642,0.037857367357642994,3
0.14891276359558106,0.005430962184532076,0.006897258758544922,0.0009074922765268024,0.01,0.01,3,400,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.31830038322509513,0.228816835479563,0.08494155290233474,0.23787222688133358,0.1836453877006009,0.21071527723778546,0.0764088084029435,4,-0.8997321805853858,-0.8985869463799987,-0.9360984151085847,-0.8291879583082159,-0.8555566549915651,-0.8838324310747501,0.03738387021285449,4
0.07326083183288574,0.005966484528547938,0.006395578384399414,0.0009032700624738097,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.2868884084637615,0.20761013352735047,0.09918294817447748,0.2311833434383086,0.2259256178582264,0.21015809029242488,0.061482017165731755,5,-0.92022807122587,-0.9108582406760546,-0.9287854257723182,-0.8328187308771162,-0.8331068317096183,-0.8851594600521955,0.04299415715691235,5
0.07192850112915039,0.004236998901576269,0.005500888824462891,0.0011218153679136008,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.2867948805992321,0.2073269344054326,0.0991811762433571,0.23078213708957063,0.22643580158924603,0.21010418598536768,0.061461189684258614,6,-0.9202884153189745,-0.9110209959186772,-0.9287863392446971,-0.8330360054243346,-0.8328322407794667,-0.8851927993372299,0.043037550964721706,6
0.14840707778930665,0.002958115284463108,0.006371164321899414,0.000764191428767553,0.01,0.01,3,400,1.0,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",0.30561125455864824,0.23314438619501587,0.08169102361590597,0.2206222725212449,0.187918452984001,0.20579747797496317,0.0730102588224935,7,-0.9080673606747393,-0.8960621562093162,-0.9377595756010599,-0.8385193475117976,-0.8533145864573911,-0.8867446052908609,0.03629668165298988,7
0.14522409439086914,0.0015645549986921304,0.00708155632019043,8.827663527822843e-05,0.1,0.01,3,400,1.0,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",0.3052458000355457,0.2347866536667913,0.08248342311330836,0.21387988956473458,0.18778179644813509,0.204835512565703,0.07255613063707261,8,-0.9083062856818404,-0.8951021564283751,-0.9373548966728363,-0.8421385449977484,-0.8533863810391203,-0.8872576529639842,0.03520599939383934,8
0.20986976623535156,0.003073327439801467,0.0074173927307128905,0.0002836051443550166,0.1,0.01,6,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.2847075865304364,0.22702632584611115,0.09740121735454643,0.20734667881791036,0.20075984345931808,0.20344833040166446,0.060708160643889626,9,-0.9216341075308208,-0.8996294975210003,-0.9297034968396415,-0.8456306861321727,-0.8465409993184835,-0.8886277574684238,0.03610461784476991,9
0.21527476310729982,0.0059902298141400485,0.007537126541137695,0.00010693949033072597,0.01,0.01,6,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.2835518231883386,0.22779304703939662,0.09483364487682766,0.20070435354759397,0.19593592379024316,0.20056375848848002,0.06136570146737469,10,-0.9223783912404951,-0.8991832105669915,-0.93102489565375,-0.849166428460454,-0.8490918611735498,-0.8901689574190481,0.03508973437606343,10
