mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.08207135200500489,0.00041655153560376504,0.007212781906127929,0.00028329652029075427,0.01,0.01,3,200,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.16726180026971826,0.20934656503814175,0.054356690183876566,0.2057410937091172,0.08490632252617991,0.14432249434540673,0.06348340454894588,1,-0.9166968570861758,-0.8866059018617914,-0.9805351538494885,-0.8683981350512824,-0.9497383398442231,-0.9203948775385922,0.04083362113915069,1
0.09066085815429688,0.016134949380014047,0.0069618701934814455,0.00012721291525749718,0.1,0.01,3,200,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.16730545836480504,0.2091522456033702,0.054366752907126004,0.2057263350603855,0.08490332402502554,0.14429082319214245,0.06344164742785356,2,-0.9166728268668769,-0.8867148460374329,-0.9805299368294791,-0.8684062031531293,-0.9497398958538675,-0.9204127417481571,0.04081268015622594,2
0.07719154357910156,0.004611579376778815,0.006556510925292969,0.0008829383924345621,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.17364468550900258,0.20870677988304553,0.0524971447012349,0.17844226088496085,0.07428163515671282,0.13751450122699133,0.06208890163177835,3,-0.9131768875265858,-0.886964543566067,-0.9814987593669534,-0.8831955677892281,-0.9552358930355282,-0.9240143302568725,0.038563075086434334,3
0.07790441513061523,0.004867667832875342,0.006678295135498047,0.00037081904369522207,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.17160509121057843,0.20880257342279318,0.05223737740233725,0.178515224626412,0.0755822939412778,0.13734851212067972,0.061697431498025285,4,-0.9143031358265822,-0.886910854211272,-0.981633293953061,-0.8831563479749445,-0.9545645913073192,-0.9241136446546359,0.038454035052266765,4
0.21392207145690917,0.0013399560113513782,0.00768280029296875,0.0005637070789364572,0.1,0.01,9,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.5}",0.15495785549524088,0.21854732834366153,0.037462790259372936,0.16428969647444913,0.106894794330185,0.1364304929805819,0.060876163985241497,5,-0.92344425375751,-0.881432129344004,-0.9892550022992681,-0.8907702699123595,-0.9382584909411328,-0.9246320292508547,0.03840851471196266,7
0.20804266929626464,0.008119506736167039,0.007626390457153321,0.00033195235815327033,0.1,0.01,6,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.1686673268952008,0.24657980902680043,0.044673671441065266,0.1860377464509414,0.03520055688767443,0.13623182214033647,0.08282461203417252,6,-0.9159229127841687,-0.8654782619777125,-0.9855425169448288,-0.8791034170554838,-0.9751910684143449,-0.9242476354353076,0.048812778203863365,5
0.23971633911132811,0.005224112549535709,0.007522153854370117,0.00011655907606301397,0.01,0.01,9,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100, 'subsample': 0.5}",0.15127190862708895,0.21766599461687675,0.040148736973213306,0.16490127998727544,0.10344247428893971,0.13548607889867884,0.05997330470225142,7,-0.9254560249280885,-0.8819290352881204,-0.9878737868890919,-0.8904442717080153,-0.9400701724405334,-0.92515465825077,0.03802503884817525,8
0.08129639625549316,0.0032115469895583307,0.006879758834838867,0.0002190103464419064,0.01,0.01,3,200,1.0,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.17203092632732597,0.18086835151864944,0.04944019525045262,0.19155141906744477,0.08209822542404954,0.13519782351758447,0.057951946379021284,8,-0.9140681075649814,-0.9024317984356696,-0.9830807999459579,-0.876120892546523,-0.9511944282713696,-0.9253792053529002,0.037621285333798944,10
0.394486141204834,0.010285014045741581,0.008254289627075195,0.00019948777578101827,0.1,0.01,9,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200, 'subsample': 0.5}",0.16346158868153482,0.269552280905099,0.042957338863744754,0.18284049542212977,0.017088966676770956,0.13518013410985585,0.09335715541530154,9,-0.9187861551703367,-0.8521815072262499,-0.986427429051123,-0.8808282879400083,-0.9843018423916071,-0.924505044355865,0.05400203246015858,6
0.08340845108032227,0.0061196613601647906,0.00676121711730957,0.00027683395482910563,0.1,0.01,3,200,1.0,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.17152849563762151,0.18067684849765608,0.04944019525045262,0.19155141906744477,0.08209822542404954,0.1350590367754449,0.057858152400726365,10,-0.9143454042863777,-0.9025372810625653,-0.9830807999459579,-0.876120892546523,-0.9511944282713696,-0.9254557612225588,0.03759188769055856,11
