mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.1496375560760498,0.009580318715846565,0.00722661018371582,0.00033636897547690994,0.1,0.01,3,400,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.1900917782823126,0.224648452266076,0.11046819283058407,0.16128490579406185,0.14521806943141946,0.1663422797208908,0.038877683356915715,1,-0.9466738375026257,-0.9034984748421924,-0.9388563684417677,-0.8448385531382918,-0.9206959137436955,-0.9109126295337147,0.03626618935258679,1
0.14174022674560546,0.006219793223962513,0.007176733016967774,0.00011816863737580061,0.01,0.01,3,400,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.19016113078347696,0.22173115362616358,0.10845542167030209,0.16096717793690563,0.14495677396760875,0.1652543315968914,0.03864315404651688,2,-0.946633304759402,-0.9051966079177167,-0.9399179579443195,-0.8449985617799577,-0.9208366252368698,-0.911516611527653,0.03630778061302764,2
0.14289021492004395,0.004168106903170864,0.00592198371887207,0.0007864671224318319,0.01,0.01,3,400,1.0,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",0.17644515579624365,0.20491496442819623,0.11032170039252698,0.1521505252703952,0.17237930863542017,0.16324233090455645,0.031362489116736884,3,-0.9546160550813433,-0.914923714522377,-0.9389336729829082,-0.8494266301879203,-0.905949978782819,-0.9127700103114735,0.036053193435875916,3
0.14566454887390137,0.0005435063182071422,0.007173967361450195,0.00022136819828568526,0.1,0.01,3,400,1.0,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",0.1760044753709602,0.2060426606746143,0.10828034528862529,0.1534870850196678,0.17048848687544582,0.16286061064586269,0.0321325488235916,4,-0.9548714262634089,-0.9142746505255555,-0.9400102412474951,-0.8487568431210648,-0.9069842766638352,-0.9129794875642718,0.036463033973521554,4
0.14912571907043456,0.0031147128500280397,0.0066558837890625,0.0008803564422162996,0.01,0.01,3,400,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.17319638901130807,0.21106273974528056,0.10324731814862431,0.1593876593786826,0.16705140252608564,0.16278910176199624,0.03468030209206097,5,-0.9564970909576529,-0.9113796529662476,-0.9426593025374248,-0.8457935624706139,-0.9088613807578243,-0.9130381979379527,0.03823119875835776,5
0.15382766723632812,0.011890376084525901,0.007015371322631836,0.0005470250149923068,0.1,0.01,3,400,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.17374833023521163,0.21065405586427355,0.10336686030991182,0.16194442727092873,0.16282413630835935,0.16250756199773703,0.03447456940514869,6,-0.9561777779407854,-0.9116156780399952,-0.9425964695577282,-0.8445063194910803,-0.9111647262206463,-0.9132121942500471,0.03856608674205522,6
0.07233986854553223,0.006187570645977812,0.006308078765869141,0.0009573540150700411,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.1696673964136205,0.19408265116017076,0.09686286890405105,0.1784342575371064,0.1657349251967154,0.16095641984233283,0.033494836945216676,7,-0.9585361948927565,-0.9211351332041344,-0.9460089922547281,-0.8361566643287333,-0.9095793260273045,-0.9142832621415314,0.042749700457729134,7
0.07896304130554199,0.003873940841282263,0.0069692134857177734,0.0003117994387503354,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.1695168020703146,0.19356584845524738,0.09739947390502901,0.17823709221688344,0.165689459999517,0.16088173532939828,0.0331576108101624,8,-0.9586231140283613,-0.9214304295123653,-0.9457279116942264,-0.8362569917876352,-0.9096041105000499,-0.9143285115045277,0.042698603115707535,8
0.07848539352416992,0.004550448925023536,0.006966400146484375,0.0004772764900022404,0.1,0.01,3,200,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.16015233776612858,0.1813013238571024,0.09003822869681777,0.1771062896429001,0.17655067769854682,0.15702977153229913,0.034266186950447766,9,-0.964012643680842,-0.9284107035972957,-0.9495765679772694,-0.8368321677030168,-0.9036640127717486,-0.9164992191460346,0.04473276559046092,9
0.07738513946533203,0.007731323134878434,0.007044744491577148,0.00018436453491899176,0.01,0.01,3,200,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.16003753933625975,0.18132996433751913,0.09005724636803958,0.1771062896429001,0.17659522194503707,0.15702525232595113,0.03426583864899049,10,-0.9640785266744738,-0.9283944641908425,-0.9495666451267198,-0.8368321677030168,-0.9036395707230257,-0.9165022748836156,0.04474584140911888,10
0.08273968696594239,0.0035312929393943988,0.006940031051635742,0.00017719775655619457,0.1,0.01,3,200,1.0,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.16192014381734965,0.166101776818529,0.08979047697659992,0.1634349552640617,0.191572685955821,0.15456400776647225,0.034150195062728185,11,-0.9629975279651342,-0.9369892729805283,-0.9497058279223114,-0.8437549847690942,-0.8953833998163439,-0.9177662026906823,0.04339167920266936,11
0.07524118423461915,0.0059902777090020745,0.006115484237670899,0.0007542764058257271,0.01,0.01,3,200,1.0,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.16009524466002056,0.166101776818529,0.08979047697659992,0.1638168010455786,0.19086839101045894,0.1541345381022374,0.03394709175316005,12,-0.9640454100641271,-0.9369892729805283,-0.9497058279223114,-0.8435623989941894,-0.8957733400775867,-0.9180152500077485,0.043637166481189066,12
0.24242477416992186,0.009025933412392816,0.007957124710083007,0.00029470147394383266,0.01,0.01,6,200,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.14138439119406998,0.2026450596594871,0.07723570283454029,0.12407590303407934,0.13935309720134614,0.13693883078470456,0.04018163411306374,13,-0.974724451705192,-0.9162288010567448,-0.9562331754785249,-0.8633755221462891,-0.9238491302642966,-0.9268822161302095,0.03822604704345826,13
0.1282280921936035,0.00462781499812598,0.007093572616577148,0.00021434064170061776,0.1,0.01,6,100,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.12454241477240391,0.17373478455226676,0.07903153719833467,0.14488318379852783,0.16171986770179358,0.13678235760466534,0.033280499125844396,14,-0.9842377680175834,-0.9326910937204443,-0.9553022374730521,-0.8530592924864384,-0.9117654596328117,-0.927411170266066,0.04429004724363631,14
